Memo Number,Date,Period,VCSC,Program AWI Code,Description,Quantity,Credit Amount
3373974,2024-09-23,Q1 2024,GE02,8888015.100MWI,BBB HD Loyalty Credit GE02,1,-22500.00
3373974,2024-09-23,Q1 2024,GE02,8888PLHD-MKTI,BBB RE Volume Credit GE02,1,-18900.00
3373974,2024-09-23,Q1 2024,GE03,8888006.100,BBB Central Bill Credit GE03,1,-3200.00
3373974,2024-09-23,Q1 2024,GE03,8888PLLD-MKTI,BBB Volume Credit GE03,1,-7100.00
3373974,2024-09-23,Q1 2024,GE04,8888PLLD-MKTI,BBB Volume Credit GE04,1,-4400.00
3373974,2024-09-23,Q1 2024,GE06,8888018.100,BBB Power Steer Credit GE06,1,-260.00
3373974,2024-09-23,Q1 2024,GE07,8888DEVAL,BBB Devel Credit GE07,1,-450.00
3373974,2024-09-23,Q1 2024,GE10,8888PLLD-MKTI,BBB Volume Credit GE10,1,-30.00
3373974,2024-09-23,Q1 2024,PS10,8888812.10MWI,Perfect Step Credit PS10,1,-205000.00
3373974,2024-09-23,Q1 2024,PS10,8888016.100MWI,Perfect Step Mas Credit PS10,1,-13200.00
3373974,2024-09-23,Q1 2024,WL01,8888DEVAL,BBB Devel WL01 Credit,1,-4750.00
3373974,2024-09-23,Q1 2024,WL02,8888DEVAL,BBB Devel WL02 Credit,1,-310.00
3373974,2024-09-23,Q1 2024,OE10,8888017.100,BBB Trubo Para Credit OE10,1,-89200.00
,,,,,TOTAL,,-369300.00
